X1,X2,X3,X4,X5,val-esp
4.83,-3.06,-4.18,-4.32,-2.88,768.6366234623999
-0.99,-4.72,-4.62,-3.69,-3.18,-253.32185229119997
-3.03,3.17,-1.53,2.29,1.33,44.7590071971
-3.28,3.33,-2.51,-3.82,-3.55,371.77785266399997
1.17,4.88,-1.06,-4.86,4.21,123.8311522656
-0.93,0.92,-2.44,3.84,-3.73,-29.902029004800003
-2.26,1.15,1.96,4.0,-0.81,16.5046896
-1.8,-4.06,-2.29,0.81,-1.87,25.348989204000006
4.58,-2.64,3.59,1.81,-2.26,177.5623431648
4.79,0.69,4.36,-3.54,-4.99,254.55105484560005
3.53,-2.84,-3.06,-4.75,2.43,-354.09056525999995
-0.1,3.58,2.72,3.22,4.46,-13.984362112000003
-3.79,-2.21,-2.03,-0.6,2.94,29.993427827999994
-2.63,1.74,-2.42,-2.44,2.44,-65.9325716544
-0.92,3.04,-0.17,-2.08,4.33,-4.2821469184000005
-4.43,-3.39,-4.48,-1.41,3.2,303.564183552
3.18,0.29,1.23,2.78,-2.02,-6.3698087736
3.54,3.68,4.52,4.43,1.63,425.1878503295999
4.4,-4.0,-3.77,0.4,-2.16,-57.328128000000014
-2.72,-2.09,-4.88,4.93,0.36,-49.236189235199994
1.67,4.37,1.99,4.18,3.07,186.36555276459998
1.16,1.48,-0.88,1.61,3.07,-7.467352076799999
2.61,-0.85,-1.3,-1.1,-0.0,0.0
-1.78,0.25,3.66,0.51,-0.49,0.40701213
4.94,-2.96,3.68,2.13,4.42,-506.60369310720006
-3.99,-2.59,2.63,-0.13,0.9,-3.1799059109999996
-3.79,4.37,-1.87,1.91,2.26,133.69158121659999
3.08,-1.63,-4.46,-3.1,2.69,-186.71841557599996
-0.51,0.3,-1.01,1.87,1.45,0.419008095
0.84,4.07,4.57,-1.87,-4.12,120.37289843040001
-0.49,2.78,-3.14,2.62,-1.29,-14.456445578399999
0.05,-1.4,1.83,-1.81,-1.4,-0.32460539999999993
-3.54,3.17,1.45,4.69,-4.87,371.64845388300006
-0.22,3.04,0.83,-3.1,-1.39,-2.391943136
2.47,4.4,-2.65,0.36,-0.73,7.568692560000001
-3.82,-4.82,-0.38,1.36,0.49,-4.6626088768
3.5,-0.68,-1.5,-0.95,-4.77,16.177455
-0.44,-1.64,-0.73,4.26,-2.28,5.116392230399999
0.94,2.98,3.64,4.44,-2.07,-93.7127790144
0.09,4.9,0.91,-2.38,4.65,-4.44129777
1.38,-1.92,-0.42,3.91,-1.24,-5.395454668799999
-0.36,-2.3,3.45,0.22,-3.61,-2.2687117199999998
1.7,-3.53,-2.2,-3.39,-4.68,209.45554343999999
-0.8,0.64,1.05,-4.34,3.39,7.909493760000001
-4.75,2.13,-2.7,3.44,0.45,42.287103
0.22,-1.36,-2.73,3.04,-4.02,-9.9821449728
-4.84,-2.98,-3.43,-3.75,1.33,246.73948529999998
1.67,4.04,3.25,0.37,2.41,19.55239507
0.33,-3.98,3.87,0.84,2.52,-10.759393814400001
-2.32,-0.65,-3.6,3.14,-1.65,28.126612799999997
2.03,2.15,-0.67,1.45,-3.61,15.306803417499998
0.22,4.85,-4.04,-4.73,2.73,55.663379772000006
0.2,-2.78,4.23,-3.42,2.74,22.038997104
3.17,-4.72,3.79,1.76,-0.38,37.9259733248
-4.66,3.92,-4.57,-4.02,-3.37,1130.9519083296
0.68,-0.2,-4.12,-1.9,3.68,-3.9177574400000004
-4.09,1.68,-4.81,4.31,-2.23,-317.65800153359993
-1.62,1.23,2.56,-4.02,-2.58,-52.9061124096
2.56,-3.88,4.35,1.74,3.98,-299.221825536
3.67,-1.58,4.05,0.01,2.56,-0.601198848
-0.63,3.33,-2.15,-4.46,-0.05,1.005838155
-4.87,3.0,4.42,0.84,2.13,-115.53973703999999
-3.42,2.67,4.09,2.21,3.95,-326.02435526700003
-2.22,3.56,1.01,-0.96,-2.33,-17.8546565376
-4.2,4.45,-3.03,-4.39,-3.5,870.1307054999999
-1.48,3.47,-3.36,0.05,-2.79,-2.407158432
0.35,4.25,0.26,2.41,1.09,1.0159535750000002
1.75,-0.75,3.12,-3.99,-3.9,-63.722295
-0.13,0.74,0.57,-2.96,-1.45,-0.235347528
1.28,-4.92,-0.46,4.01,1.78,20.677464268800005
-1.45,-3.09,0.7,-3.18,-3.21,32.01523352999999
-0.65,0.19,3.32,-4.21,-4.16,-7.180926272000001
4.73,0.27,1.05,-2.06,-0.79,2.1822701670000004
-2.88,3.69,-1.82,1.4,0.13,3.5201537280000004
-3.55,0.5,1.63,-2.62,-1.91,-14.478401649999999
2.26,3.88,0.36,-0.0,-3.33,0.0
0.01,-3.64,-2.6,-0.06,4.69,-0.026631696000000003
4.98,3.24,-2.05,1.42,1.81,-85.014916632
-0.44,3.14,-4.89,0.79,3.65,19.480995204000003
-1.97,-4.74,2.52,-0.12,-4.41,12.4527406752
1.06,3.75,-0.24,1.32,-3.91,4.9237848
-3.8,0.31,4.03,2.46,-4.31,50.334147083999994
3.44,-3.38,4.2,-1.56,4.68,356.529019392
3.22,1.97,0.72,4.65,2.91,61.80171631200001
0.2,2.06,-4.91,3.03,2.73,-16.733391947999998
-4.89,-3.12,-4.78,1.99,-1.4,203.176026144
-0.29,1.86,4.99,-2.21,1.55,9.220096353
-2.31,0.87,-1.52,0.8,-4.02,-9.824056704
1.34,5.0,0.47,-1.0,-3.52,11.084480000000001
-2.31,2.68,0.88,-1.22,-0.43,-2.8579704384
2.36,-3.89,2.84,-4.7,-4.79,-586.9665003680001
-2.63,-1.68,-4.42,-0.84,2.05,33.62950281599999
-2.17,2.99,-3.73,3.86,-2.25,-210.18880291500002
-3.2,4.0,-3.82,1.5,3.9,286.04159999999996
1.84,0.59,-3.89,-3.65,3.61,55.64414867599999
3.96,1.06,0.04,2.51,0.73,0.30765049920000004
-3.37,-1.85,4.19,0.25,-4.56,-29.779712700000005
-4.61,-0.41,2.69,-2.3,3.57,-41.747753859
-3.55,0.14,2.42,4.16,-1.62,8.105505408
1.85,2.58,4.74,1.2,-2.65,-71.94438360000001
-2.27,-0.72,2.63,-0.44,1.81,-3.4233031007999997
4.41,0.21,-0.41,-2.59,4.34,4.2680670606
-4.83,0.91,1.69,0.66,2.86,-14.021200393200003
-1.76,-3.26,-4.76,-0.23,2.05,12.877125183999999
2.78,0.9,-2.31,3.48,1.04,-20.917600703999998
