X1,X2,X3,X4,X5,val-esp
4.41,1.06,4.19,0.26,1.46,7.435063490400003
0.97,0.3,-2.21,4.21,-2.57,6.958257266999999
-3.71,3.31,3.85,3.02,1.2,-171.33686724
4.63,2.97,-1.91,1.02,-2.89,77.42279082780001
-1.39,-0.62,-3.3,2.45,-0.06,0.41805918
1.24,-1.13,-3.31,0.31,-2.09,-3.0049420587999993
-1.71,-1.52,-3.91,-3.75,2.07,78.88929390000001
-4.05,0.58,-0.43,3.44,-4.02,-13.968056015999995
2.42,-3.0,4.87,-1.16,4.32,177.17698944
-0.56,-0.8,-1.34,-2.63,-0.77,-1.215708032
2.25,3.6,-4.6,-2.07,-3.62,-279.20408399999997
0.11,-2.48,1.31,3.67,2.74,-3.5936211344000006
2.77,0.82,-0.0,-2.19,2.58,0.0
-3.95,-4.77,-0.5,-3.61,-1.39,-47.272381425
1.07,1.26,-0.55,4.27,-2.21,6.997407417
-0.74,2.62,1.2,-0.2,4.62,2.14974144
-3.17,-4.8,2.81,-1.18,-2.09,105.44721475199998
-4.95,-1.34,-2.17,0.29,-0.86,3.589766334
-0.57,0.27,4.22,-4.92,-2.97,-9.4901400792
0.16,3.57,-2.5,0.72,-3.73,3.8350368000000006
3.73,2.42,3.44,-1.36,4.38,-184.9675990272
-3.12,1.59,-3.88,3.04,-2.18,-127.55970938880002
1.2,0.83,-4.06,1.64,0.78,-5.172777791999998
1.94,-2.64,-0.53,-4.36,2.26,-26.7470848128
-4.61,-4.7,4.31,0.62,2.84,164.431903016
-3.23,-2.1,0.56,-2.15,2.39,-19.518489480000003
-0.03,-3.36,-0.34,0.73,-0.56,0.0140103936
1.27,3.6,-0.7,0.86,4.05,-11.146993199999999
2.57,4.98,-0.43,-4.46,-1.25,-30.681443849999997
-0.96,-1.7,-4.42,-2.47,-1.81,-32.24912620800001
1.98,2.56,-0.07,-3.71,-1.47,-1.9350600192000005
4.42,4.38,-1.26,-1.1,3.03,81.302188968
-0.53,-1.72,-0.9,2.06,-1.71,2.8900819440000003
1.89,3.4,2.37,1.51,-4.7,-108.08461313999999
-0.29,4.75,3.41,-3.87,-2.76,-50.17253373
-3.94,-4.43,-0.6,-1.6,1.89,31.66890048
2.15,1.49,-1.32,-2.54,0.12,1.288883376
-2.53,-0.69,0.56,-4.34,-0.02,0.0848549856
-3.3,4.33,4.35,0.9,-1.58,88.3874673
-4.93,-2.46,0.31,-4.0,1.8,-27.0692496
4.76,0.42,-0.16,4.43,3.51,-4.973785689599999
-3.05,3.98,-4.26,4.61,-2.67,-636.509217618
-4.09,1.82,-0.87,0.48,-3.13,-9.7297016544
-2.24,0.84,2.05,4.1,1.39,-21.982638719999997
-3.77,0.12,2.73,4.83,-4.27,25.471835953199996
-2.26,3.28,-1.48,-4.61,-0.9,45.518446655999995
-4.28,0.48,-1.87,0.42,-0.8,-1.2908206080000002
-4.97,-0.95,-2.5,-4.98,1.29,75.82965075
-0.26,1.35,-3.29,2.09,4.17,10.064341287000001
-4.02,4.86,0.48,3.38,-1.7,53.885160576
3.99,-3.93,-0.13,-1.67,-1.67,5.685147549900001
0.55,-2.46,-3.06,-1.03,0.46,-1.9616172840000001
2.36,4.37,1.16,-3.78,0.55,-24.871725647999998
3.15,-1.87,-2.14,0.48,-2.82,-17.063034912000003
2.58,-4.31,-1.37,-1.21,-4.28,78.8944917288
-1.74,4.3,-4.95,-2.0,1.65,-122.21846999999998
-0.33,-4.18,-0.7,1.98,2.09,-3.9957631559999993
2.19,-2.35,2.4,4.49,-3.83,212.40675972
3.07,-0.93,3.6,1.53,4.94,-77.68590055200002
-3.38,-1.12,3.66,1.5,-3.28,-68.16805631999999
-2.32,2.41,1.81,-2.37,2.58,61.88019225120001
4.87,-4.67,-3.37,-4.97,-1.96,746.6003733076
1.8,-3.15,4.36,-1.93,2.45,116.89419420000002
0.38,-3.18,0.92,-4.76,0.11,0.5821007808000002
-3.9,-2.75,-0.98,1.64,-2.73,47.05761059999999
-0.99,0.62,2.87,-4.06,0.02,0.1430424072
-4.52,-3.14,3.68,-3.08,2.02,-324.95108208640005
2.65,-3.98,0.31,-4.59,4.8,72.03516623999998
0.73,-0.36,4.26,-0.87,-0.12,-0.11687872319999998
-2.19,-3.65,0.34,-0.43,2.99,-3.494262603000001
2.44,1.14,-4.31,-2.26,0.07,1.8966117071999995
-2.73,-2.63,-0.44,1.64,3.7,-19.169758608
4.45,-2.33,4.76,4.6,-3.97,901.30384372
-1.33,0.37,-1.25,-3.35,3.44,-7.0887005
1.34,3.99,3.52,3.9,2.16,158.53994956800003
-1.61,-0.32,2.9,-3.89,0.32,-1.859830784
0.44,-2.69,-4.24,-1.25,-2.61,16.3727388
1.95,2.29,-2.89,-4.21,-4.53,-246.1207525335
-1.07,4.1,0.14,2.09,-3.74,4.800799388
-4.02,0.02,-0.66,4.96,-0.47,-0.1237027968
-0.05,-1.78,-0.9,-1.8,1.87,0.26961660000000004
-0.62,-1.42,4.46,3.36,4.28,56.4674191872
4.17,-1.15,4.57,-0.7,4.21,64.58478694499999
-2.44,-3.85,-4.38,-2.79,0.17,19.515414996
-1.1,-0.56,3.2,0.97,-1.51,-2.8872166400000006
4.08,2.8,2.1,-3.72,-2.85,254.34622080000005
-0.32,-1.47,0.97,3.7,2.18,3.6804190080000003
1.94,-3.07,-2.65,-2.89,-2.17,98.97911263099998
-0.49,-0.63,2.88,-0.93,-4.85,4.010087087999999
2.68,3.99,-1.05,1.42,1.35,-21.523807620000003
-1.43,-0.05,-0.44,2.31,2.24,-0.162786624
-3.95,0.26,1.25,4.64,-1.0,5.956600000000001
4.3,-0.14,-0.28,-4.07,3.24,-2.2227670080000004
3.92,0.94,-1.02,3.88,4.21,-61.39428046079999
-1.11,3.73,-1.74,3.91,-4.55,-128.16493244100002
4.34,3.13,-2.15,-4.82,3.12,439.211961552
-1.8,-2.44,-1.8,-1.81,1.28,18.315694080000004
1.11,-1.34,2.16,2.97,2.33,-22.232786558400008
-2.8,-3.34,-0.77,3.49,-2.88,72.37909324799999
0.48,2.98,0.73,-2.16,-0.15,0.3383182079999999
-2.15,-2.36,-3.7,-4.5,-0.69,-58.292649
3.67,1.56,3.71,-0.34,-1.9,13.721357832
-1.18,4.58,-1.97,1.04,3.72,41.1898291584
-0.02,-0.52,1.03,-2.09,0.08,-0.0017910464
2.6,1.24,-3.02,-3.88,-0.1,-3.77775424
3.02,1.13,0.51,3.07,-4.3,-22.975363626
1.97,-4.28,3.97,-2.5,-3.12,-261.09292560000006
1.9,4.22,4.44,2.74,3.88,378.469869504
-0.27,1.21,-3.97,-1.66,-4.07,8.7627846438
-0.24,-0.99,-1.61,-1.42,2.21,1.2004744751999998
-3.25,2.53,-0.19,2.95,3.25,14.978311562500002
-2.54,3.61,-3.56,4.18,0.26,35.47648195519999
3.83,-4.41,-3.53,-4.68,1.62,-452.0359096343999
-2.18,0.79,4.29,-3.32,-0.15,-3.6793425240000004
-2.41,0.46,4.86,4.37,0.72,-16.9521613344
3.31,3.23,3.42,4.29,1.35,211.76183070899998
0.72,1.06,-3.16,0.63,2.71,-4.1175158976
2.12,4.22,3.0,-0.37,3.12,-30.983172480000004
3.54,2.33,2.97,3.38,4.44,367.63368950880005
-2.92,2.43,-1.26,-0.96,1.53,-13.1317417728
1.13,-4.23,-4.51,-3.11,-3.39,227.27697477209998
-4.79,0.49,-3.08,-3.06,1.06,-23.448204964800002
4.2,-0.75,-0.76,0.32,-1.64,-1.2563712
-0.13,4.69,-3.69,-4.61,-4.78,49.575988589400005
0.97,2.46,1.22,-4.06,-3.03,35.81255729519999
3.03,-3.54,-3.19,0.66,-2.04,-46.0692006192
2.01,-1.59,0.74,1.27,2.79,-8.379784027800001
-0.03,-3.42,-2.01,2.76,-3.66,2.0832125615999995
1.82,1.44,4.71,3.59,-4.2,-186.122349504
4.75,0.07,-4.33,2.32,-2.89,9.653068180000002
-0.01,-3.98,2.13,-0.29,-3.92,0.0963710832
-1.43,4.2,-2.47,-2.5,-0.76,28.186158000000002
4.94,1.3,-0.61,-4.13,4.32,69.89304067200001
-0.46,-4.62,-4.89,-1.84,1.08,20.6514354816
-2.08,-4.62,-2.07,2.52,-3.45,172.939935168
-1.94,-4.24,1.77,2.25,-3.78,-123.82694855999999
-0.84,3.02,-1.41,-0.74,-3.61,9.555298603199999
4.32,4.48,-4.55,3.12,3.01,-826.9785538560001
3.69,0.21,0.62,4.58,-0.23,-0.5060933892
3.35,2.23,-1.81,-1.43,-1.71,-33.064380706499996
4.64,-2.86,-4.3,-2.15,4.77,-585.2067249599999
1.52,2.94,-4.76,-2.37,1.2,60.49611187199999
-4.27,1.08,-3.47,2.18,-3.68,-128.37646644480003
-3.12,0.86,-1.23,-2.27,2.93,-21.950864769600003
-2.63,1.04,0.02,0.11,-0.28,0.0016848832000000002
0.73,2.07,2.04,-0.99,1.31,-3.9978810035999994
2.0,-0.67,3.83,0.22,3.6,-4.0647024
1.33,-3.09,2.23,-4.43,-4.24,-172.1410969992
4.95,-0.44,-0.63,0.19,1.7,0.44320122
3.95,-0.57,-4.27,2.76,-0.18,-4.776188003999999
-2.6,4.44,-4.13,0.74,-2.29,-80.79296971200002
-4.19,4.08,3.37,1.09,3.9,-244.90361282400005
-0.03,2.4,-4.49,4.56,-3.88,-5.719728383999999
3.4,-2.32,0.91,0.51,-1.56,5.710880448
-0.72,-3.16,-2.54,-1.31,-1.91,-14.459655916800001
2.35,-0.52,-1.17,-1.74,1.89,-4.701842964000001
4.43,4.49,-1.92,-4.31,0.1,16.459952064
-3.28,-0.59,-2.92,0.01,-3.76,0.21246947839999994
3.7,-0.32,-2.7,-4.28,-4.39,60.06531456000001
4.66,2.88,-0.9,-3.84,4.53,210.111750144
-0.61,-2.04,3.45,-1.56,4.33,-28.999572264000005
1.13,4.78,4.29,0.22,4.92,25.081379294399998
1.65,4.09,-2.83,1.39,1.95,-51.76582017749999
3.57,0.42,-4.29,4.52,-2.08,60.475096281599996
-2.49,0.01,-1.77,2.98,4.8,0.630420192
-3.89,1.39,1.68,-4.82,-1.2,-52.54143955199999
4.65,-4.85,-3.54,-1.58,-0.11,13.87547073
4.75,1.44,2.01,0.02,4.09,1.12461912
0.37,4.72,-3.48,3.68,-1.41,31.534786713600003
4.77,-0.6,-0.56,-0.85,1.83,-2.49303096
0.93,2.92,3.19,1.18,1.85,18.910813812
-3.78,-3.63,1.31,2.84,-3.67,-187.3501843752
-4.86,0.75,-1.72,4.49,3.83,107.81299098000002
2.09,4.38,1.69,1.87,-1.58,-45.7094288508
2.01,-3.84,-0.83,1.04,-0.23,-1.5323802623999998
-4.83,-2.82,0.12,-0.96,-3.55,5.570280575999999
-0.59,1.06,4.86,-0.15,-3.01,-1.3723089659999999
0.92,0.04,-2.73,1.48,0.79,-0.1174625088
1.59,-3.8,-0.08,-1.84,-4.56,4.055583744
4.75,4.34,0.43,-4.77,-0.16,6.76534824
3.92,-4.11,-3.0,0.39,0.78,14.703081120000002
-2.9,-0.97,-2.38,-1.67,-0.41,-4.584025417999999
-0.83,0.3,1.62,2.73,-2.18,2.4006757320000003
0.23,2.79,0.18,1.33,-0.18,-0.0276521364
-4.03,-3.08,-4.18,-4.37,1.04,235.80163967360002
4.17,-1.06,4.73,2.68,-3.36,188.26827022080002
4.83,-1.24,-1.02,2.08,1.04,13.2149541888
-4.8,-4.49,4.85,1.15,1.43,171.89498039999995
-2.39,-3.27,-0.36,-4.43,-2.86,-35.6465836584
4.02,-3.96,2.45,1.7,-1.39,92.16182051999999
2.95,-0.75,3.27,2.0,-1.08,15.627330000000004
-2.42,2.8,-1.47,-2.73,4.35,-118.28853036
4.4,2.88,0.54,-1.66,-4.17,47.367783936
1.79,0.38,0.75,-4.76,-2.84,6.8964117599999994
-4.11,-1.87,-1.01,-1.61,0.73,9.123333242100001
1.46,2.74,-3.59,0.08,1.88,-2.1599599744
-0.94,-2.45,0.68,3.32,-2.07,-10.762453295999999
-1.63,-2.63,-3.4,-0.03,2.78,1.2155933639999996
-3.68,2.82,-2.48,3.13,2.32,186.88779079679998
-1.19,-3.64,1.63,3.02,-2.72,-57.997836915200004
1.85,4.88,4.95,5.0,-4.9,-1094.8707000000002
-4.51,-3.02,-3.03,-3.78,1.17,182.51719045559997
-4.93,-0.59,3.23,-1.18,2.97,-32.926070964599994
2.6,-1.12,1.27,-3.68,-3.57,-48.58599782400001
0.4,-2.47,-2.12,-1.05,-0.23,0.5058362400000002
3.26,0.42,0.93,-0.15,-3.59,0.685702206
-4.17,-0.47,4.32,-3.17,1.25,-33.549568199999996
-0.46,3.14,-2.19,-0.22,4.36,-3.0341759712000007
-4.17,0.61,3.66,0.21,-4.98,9.7363373436
-2.85,-3.43,-3.82,2.24,-3.19,266.83392489600004
0.75,-4.38,2.7,-0.49,0.57,2.4772513499999995
4.58,0.88,1.46,1.74,-2.35,-24.061246175999997
4.69,-2.77,-3.59,-1.33,0.29,-17.9885724319
-4.9,-1.67,-2.77,4.05,-0.45,41.310443475
2.78,-0.02,4.9,-3.07,3.8,3.17828504
-4.06,-2.26,-1.13,1.05,-2.24,24.386542655999996
-1.49,3.66,-2.84,4.52,1.0,70.00420512
1.15,4.48,-4.51,-1.14,-0.0,-0.0
1.92,3.31,-2.1,-4.46,-0.64,-38.094594048000005
-4.84,-1.67,1.57,-3.2,4.3,-174.61434495999998
2.33,4.15,1.73,1.07,-2.71,-48.50686302950001
-4.38,4.88,1.77,1.03,-1.53,59.6205330192
-1.31,-4.96,2.75,4.3,3.2,245.86918400000002
-4.44,-2.8,4.62,-3.2,-2.74,503.59744512000015
