seed,mse,equacao
507,48026.71068648875,log(log(log(log(-1.6366612111293*X2*log(-1.6366612111293*X3*log(log(X2 + X3)))))))
611,119329.372044091,log(-X0 + 2*X3 + log(X3) + log(log(log(log(0.56*X1*X2*sqrt(X4/cos(tan(X3)/X4)))) + 1.09170305676856*tan(X0 - 2*X3) + 1.09170305676856*tan(X0 - X3))) + log(1.09170305676856*tan(X0 - X3)) + 1.09170305676856*tan(X0 - X3))
582,45540.5482655881,log(X1*X3**2*log(X3))
758,58709.26628905427,X2*(X1 + 2*X2 + 2*X4)/(X1 + X4)
263,59000.89636807164,X3*X4*(-X2**2 + X2) + X3*X4*(-X2*log(X3) + X2) - X3
795,46046.17714899063,log(X0*(X0*X2 + 4*X1*X3 + X1*X4))
178,49903.30939939049,log(log(log(log(X1**3*X3))))
550,47151.70891800029,log(log(log(log(X1*log(log(tan(X0 - X3)))))))
945,44884.5461167937,log(log(log(log(log(11.3636363636364*X1*X3)))))
926,42074.40146392668,log(tan(X2))
615,66572.15701984962,tan((-X0 + cos(tan(X3)))*sin(X0/(X2 - X3)))
879,40837.24575607616,X0*X1*X3
529,45545.60771668107,log(log(log(X1*X3**2*log(X3))))
523,49899.73232062998,log(log(log(X1**3*X3)))
122,42697.69993496775,sqrt(log(X0*sqrt(X0*X1*X3)))
673,42074.40146392668,log(tan(X2))
146,40923.97557471316,log(log(log(log(11.2359550561798*X3))))
216,42074.40146392668,log(tan(X2))
809,42799.33394182712,(X2*X3*sqrt(X1*X3))**(1/512)
247,49903.30939939049,log(log(log(log(X1**3*X3))))
691,42572.28779145092,log(log(log(X2*X3*log(log(log(log(log(log(log(log(log(log(X1*X3)))))))))))))
801,40426.881727740656,-tan(0.268/tan(X3))
192,49675.26669292605,log(log(log(log(X1*X3**3))))
