seed,mse,equacao
907,71.42360482801473,3*X0 + 7*X1 + X1/cos(X1) + 1/4
319,71.29054895773983,3*X0 + 7*X1 + X1/cos(X1)
669,165.51880144280486,3*X0 + 8*X1 + 0.391
860,33.85156841961812,2*X0 + 3*X1*(log(X1**2) + cos(X1)) + log(log(X1) + cos(X1)) + cos(cos(X1**2))
49,165.419867,3*X0 + 8*X1
32,60.0533559211478,2*X0 + 6*X1 + log(X0 + sin(X1)/(-2.23259272117401 + I*pi) - 1.3986013986014*sin(X1)/log(X1)) - 8.32400932400932*sin(X1) - tan(log(X1))
932,144.0434523066511,3*X0 + 7*X1 - 2*tan(X1)
793,144.0434523066511,3*X0 + 7*X1 - 2*tan(X1)
76,99.4569780280257,2*X0 + 4*X1 + 2*log(X1) - 3*sin(X1) - tan(log(X1))
645,165.419867,3*X0 + 8*X1
257,165.9147292687482,3*X0 + 7.66283524904215*X1
889,66.65891062365154,3*X0 + 6.18818380743982*X1 + tan(2.18818380743982*X1) - tan(tan(tan(X1)))
225,165.419867,3*X0 + 8*X1
343,77.17353437958771,3*X0 + 7*X1 - 7*sin(X1) - 2*tan(X1)
379,47.64696368394113,2*X0 + 4*X1 + tan(X1) - 2*tan(X1 + tan(X1))
215,71.29054895773983,3*X0 + 7*X1 + X1/cos(X1)
335,165.419867,3*X0 + 8*X1
13,50.34307062972472,3*X0 + 6.42005420054201*X1 + X1/cos(X1) + tan(2.710027100271*X1)
880,165.419867,3*X0 + 8*X1
758,106.517044788837,X0 + 6.15649976795751*X1 - 5.15649976795751*sqrt(sin(X1)) - 6.15649976795751*sin(X1)
402,71.2290127743517,3*X0 + 7*X1 + X1/cos(X1) + X1/(X1 + cos(X1))
351,164.2435917884845,2.76056338028169*X0 + 7.76056338028169*X1 + 0.568
394,151.45054015217474,2.94925044474491*X0 + 7.89850088948981*X1 + sin(11.8477513342347*X1)
186,166.59170467943335,3*X0 + 7.57575757575758*X1 + 0.132
23,166.73916511409064,3*X0 + 7.5359477124183*X1
98,71.72020993084891,3*X0 + 7*X1 + X1/cos(X1) + 0.685
30,99.25717428043866,2*X0 + X1*tan(sqrt(X1*tan(sqrt(log(X1))) + X1)) + 3*X1 + sqrt(log(X1))*tan(sqrt(log(X1))) + log(X1)
445,165.419867,3*X0 + 8*X1
451,166.56642365071664,3*X0 + 8.25*X1 + 0.4
425,108.22561704262462,3*X0 + 7.75193798449612*X1 - tan(7.75193798449612*X1) - tan(log(X1))
